"infinitive","sg_Ip_form","sg_IIp_form","sg_IIIp_form","pl_Ip_form","pl_IIp_form","pl_IIIp_form"
achten,achte,achtest,achtet,achten,achtet,achten
anbieten,biete an,bietest an,bietet an,bieten an,bietet an,bieten an
anzeigen,zeige an,zeigst an,zeigt an,zeigen an,zeigt an,zeigen an
aufbauen,baue auf,baust auf,baut auf,bauen auf,baut auf,bauen auf
aufnehmen,nehme auf,nimmst auf,nimmt auf,nehmen auf,nehmt auf,nehmen auf
bauen,baue,baust,baut,bauen,baut,bauen
beachten,beachte,beachtest,beachtet,beachten,beachtet,beachten
bedeuten,bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten
befinden,befinde,befindest,befindet,befinden,befindet,befinden
beginnen,beginne,beginnst,beginnt,beginnen,beginnt,beginnen
begleiten,begleite,begleitest,begleitet,begleiten,begleitet,begleiten
behandeln,behandle; behandele,behandelst,behandelt,behandeln,behandelt,behandeln
bekommen,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen
benutzen,benutze,benutzt,benutzt,benutzen,benutzt,benutzen
benötigen,benötige,benötigst,benötigt,benötigen,benötigt,benötigen
berichten,berichte,berichtest,berichtet,berichten,berichtet,berichten
beschreiben,beschreibe,beschreibst,beschreibt,beschreiben,beschreibt,beschreiben
beschäftigen,beschäftige,beschäftigst,beschäftigt,beschäftigen,beschäftigt,beschäftigen
besitzen,besitze,besitzt,besitzt,besitzen,besitzt,besitzen
bestehen,bestehe,bestehst,besteht,bestehen,besteht,bestehen
bestellen,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen
bestimmen,bestimme,bestimmst,bestimmt,bestimmen,bestimmt,bestimmen
bestätigen,bestätige,bestätigst,bestätigt,bestätigen,bestätigt,bestätigen
besuchen,besuche,besuchst,besucht,besuchen,besucht,besuchen
betragen,betrage,beträgst,beträgt,betragen,betragt,betragen
betreffen,betreffe,betriffst,betrifft,betreffen,betrefft,betreffen
betreiben,betreibe,betreibst,betreibt,betreiben,betreibt,betreiben
bewegen,bewege,bewegst,bewegt,bewegen,bewegt,bewegen
bezeichnen,bezeichne,bezeichnest,bezeichnet,bezeichnen,bezeichnet,bezeichnen
beziehen,beziehe,beziehst,bezieht,beziehen,bezieht,beziehen
bieten,biete,bietest,bietet,bieten,bietet,bieten
bilden,bilde,bildest,bildet,bilden,bildet,bilden
bitten,bitte,bittest,bittet,bitten,bittet,bitten
bleiben,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben
