translation,infinitive,sg_Ip_form,sg_IIp_form,sg_IIIp_form,pl_Ip_form,pl_IIp_form,pl_IIIp_form
respect,achten,achte,achtest,achtet,achten,achtet,achten
to offer,anbieten,biete an,bietest an,bietet an,bieten an,bietet an,bieten an
to change,ändern,ändere,änderst,ändert,ändern,ändert,ändern
show,anzeigen,zeige an,zeigst an,zeigt an,zeigen an,zeigt an,zeigen an
build up,aufbauen,baue auf,baust auf,baut auf,bauen auf,baut auf,bauen auf
record,aufnehmen,nehme auf,nimmst auf,nimmt auf,nehmen auf,nehmt auf,nehmen auf
to build,bauen,baue,baust,baut,bauen,baut,bauen
note,beachten,beachte,beachtest,beachtet,beachten,beachtet,beachten
mean,bedeuten,bedeute,bedeutest,bedeutet,bedeuten,bedeutet,bedeuten
to be located,befinden,befinde,befindest,befindet,befinden,befindet,befinden
start,beginnen,beginne,beginnst,beginnt,beginnen,beginnt,beginnen
accompany,begleiten,begleite,begleitest,begleitet,begleiten,begleitet,begleiten
to treat,behandeln,behandle; behandele,behandelst,behandelt,behandeln,behandelt,behandeln
to get,bekommen,bekomme,bekommst,bekommt,bekommen,bekommt,bekommen
need,benötigen,benötige,benötigst,benötigt,benötigen,benötigt,benötigen
to use,benutzen,benutze,benutzt,benutzt,benutzen,benutzt,benutzen
to report,berichten,berichte,berichtest,berichtet,berichten,berichtet,berichten
employ,beschäftigen,beschäftige,beschäftigst,beschäftigt,beschäftigen,beschäftigt,beschäftigen
describe,beschreiben,beschreibe,beschreibst,beschreibt,beschreiben,beschreibt,beschreiben
have,besitzen,besitze,besitzt,besitzt,besitzen,besitzt,besitzen
to confirm,bestätigen,bestätige,bestätigst,bestätigt,bestätigen,bestätigt,bestätigen
consist,bestehen,bestehe,bestehst,besteht,bestehen,besteht,bestehen
to order,bestellen,bestelle,bestellst,bestellt,bestellen,bestellt,bestellen
determine,bestimmen,bestimme,bestimmst,bestimmt,bestimmen,bestimmt,bestimmen
visit,besuchen,besuche,besuchst,besucht,besuchen,besucht,besuchen
be,betragen,betrage,beträgst,beträgt,betragen,betragt,betragen
affect,betreffen,betreffe,betriffst,betrifft,betreffen,betrefft,betreffen
operate,betreiben,betreibe,betreibst,betreibt,betreiben,betreibt,betreiben
move,bewegen,bewege,bewegst,bewegt,bewegen,bewegt,bewegen
describe,bezeichnen,bezeichne,bezeichnest,bezeichnet,bezeichnen,bezeichnet,bezeichnen
obtain,beziehen,beziehe,beziehst,bezieht,beziehen,bezieht,beziehen
offer,bieten,biete,bietest,bietet,bieten,bietet,bieten
form,bilden,bilde,bildest,bildet,bilden,bildet,bilden
ask,bitten,bitte,bittest,bittet,bitten,bittet,bitten
stay,bleiben,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben
need,brauchen,brauche,brauchst,braucht,brauchen,braucht,brauchen
bring,bringen,bringe,bringst,bringt,bringen,bringt,bringen
represent,darstellen,stelle dar,stellst dar,stellt dar,stellen dar,stellt dar,stellen dar
think,denken,denke,denkst,denkt,denken,denkt,denken
to serve,dienen,diene,dienst,dient,dienen,dient,dienen
to discuss,diskutieren,diskutiere,diskutierst,diskutiert,diskutieren,diskutiert,diskutieren
carry out,durchführen,führe durch,führst durch,führt durch,führen durch,führt durch,führen durch
allowed to,dürfen,darf,darfst,darf,dürfen,dürft,dürfen
suitable,eignen,eigne,eignest,eignet,eignen,eignet,eignen
deploy,einsetzen,setze ein,setzt ein,setzt ein,setzen ein,setzt ein,setzen ein
recommend,empfehlen,empfehle,empfiehlst,empfiehlt,empfehlen,empfehlt,empfehlen
discover,entdecken,entdecke,entdeckst,entdeckt,entdecken,entdeckt,entdecken
remove,entfernen,entferne,entfernst,entfernt,entfernen,entfernt,entfernen
contain,enthalten,enthalte,enthältst,enthält,enthalten,enthaltet,enthalten
decide,entscheiden,entscheide,entscheidest,entscheidet,entscheiden,entscheidet,entscheiden
correspond,entsprechen,entspreche,entsprichst,entspricht,entsprechen,entsprecht,entsprechen
arise,entstehen,entstehe,entstehst,entsteht,entstehen,entsteht,entstehen
develop,entwickeln,entwickle; entwickele,entwickelst,entwickelt,entwickeln,entwickelt,entwickeln
experience,erfahren,erfahre,erfährst,erfährt,erfahren,erfahrt,erfahren
occur,erfolgen,erfolge,erfolgst,erfolgt,erfolgen,erfolgt,erfolgen
fulfill,erfüllen,erfülle,erfüllst,erfüllt,erfüllen,erfüllt,erfüllen
surrender,ergeben,ergebe,ergibst,ergibt,ergeben,ergebt,ergeben
receive,erhalten,erhalte,erhältst,erhält,erhalten,erhaltet,erhalten
increase,erhöhen,erhöhe,erhöhst,erhöht,erhöhen,erhöht,erhöhen
recall,erinnern,erinnere,erinnerst,erinnert,erinnern,erinnert,erinnern
detect,erkennen,erkenne,erkennst,erkennt,erkennen,erkennt,erkennen
to explain,erklären,erkläre,erklärst,erklärt,erklären,erklärt,erklären
allow,erlauben,erlaube,erlaubst,erlaubt,erlauben,erlaubt,erlauben
experience,erleben,erlebe,erlebst,erlebt,erleben,erlebt,erleben
